GroupNo	MSA	INCLEVEL	Sex	DUMEMP	Mean	Std.Dev.
1	1	1	1	1	1.478	4.958261
2	1	1	1	2	0.433	1.764132
3	1	1	1	3	0.293	1.286799
4	1	1	2	1	0.407	1.58091
5	1	1	2	2	0	1.140447
6	1	1	2	3	0	0.8247393
7	1	2	1	1	2.051	5.90988
8	1	2	1	2	1.006	2.763973
9	1	2	1	3	0.866	1.732158
10	1	2	2	1	0.98	2.888646
11	1	2	2	2	0	2.077418
12	1	2	2	3	0	1.14739
13	1	3	1	1	2.86	7.457606
14	1	3	1	2	1.814	2.107422
15	1	3	1	3	1.675	0.6050986
16	1	3	2	1	1.789	3.408763
17	1	3	2	2	0.743	1.585018
18	1	3	2	3	0.604	0.7245147
19	2	1	1	1	1.731	5.89072
20	2	1	1	2	0.685	2.754952
21	2	1	1	3	0.546	1.650456
22	2	1	2	1	0.66	2.860474
23	2	1	2	2	0	1.872993
24	2	1	2	3	0	1.70083
25	2	2	1	1	2.304	7.817231
26	2	2	1	2	1.258	5.567135
27	2	2	1	3	1.119	1.521355
28	2	2	2	1	1.233	3.484921
29	2	2	2	2	0.187	2.340204
30	2	2	2	3	0.048	1.770546
31	2	3	1	1	3.113	7.709315
32	2	3	1	2	2.067	2.986636
33	2	3	1	3	1.928	0.78387
34	2	3	2	1	2.042	3.551878
35	2	3	2	2	0.996	3.009948
36	2	3	2	3	0.857	0.4227286
