MSA	SPOP	SEMP	SHH
1000	1007.165	599.94	408.077
1010	107.107	79.157	44.125
1020	130.79	85.904	54.399
1040	169.08	112.475	66.985
1080	592.464	352.247	223.278
1099	194.939	96.738	81.417
1120	3514.482834	2427.032676	1406.382871
1125	334.628	265.485	136.074
1145	312.804	133.354	110.264
1150	247.829	130.815	96.558
1160	278.7447321	182.1104286	107.2678214
120	130.966	71.533	48.76
1200	324.5529107	174.257881	123.9386786
1240	406.959	174.765	123.289
1260	181.238	111.43	68.32
1280	1123.047	645.787	464.93
1299	1347.003	597.191	544.135
1305	141.0668222	106.9617333	55.9936
1320	408.6	221.483	166.456
1350	74.7	55.006	30.857
1360	212.543	155.582	88.898
1399	2829.214	1392.111	1072.975
1400	194.23	132.213	80.303
1440	672.066	404.583	264.951
1480	246.725	161.451	107.529
1520	1959.141	1151.922	778.307
1540	183.522	132.074	74.904
1560	511.039	315.372	210.478
1580	88.994	62.408	35.375
1599	402.166	240.967	147.556
160	908.168	570.394	376.283
1600	8828.98	5196.527	3262.372
1620	224.478	112.359	90.362
1640	1787.492	1091.753	729.558
1660	242.829	132.205	90.925
1680	2187.823	1336.183	898.406
1699	907.243	539.73	339.17
1720	616.088	363.857	236.86
1740	159.536	113.316	65.839
1760	628.999	424.563	247.453
1799	1829.647	909.37	745.006
1800	283.624	170.946	107.912
1840	1725.593	1154.775	714.415
1880	394.498	241.452	143.538
1890	83.075	57.81	33.594
1899	1697.659	868.466	673.554
1900	98.859	49.302	40.818
1920	4449.173	2825.775	1656.963
1930	247.1450192	165.1137692	93.96715385
1950	105.683	54.197	45.65
1960	362.429	233.071	150.347
199	1339.298	586.953	544.467
1999	1559.433	1006.024	639.38
200	885.313	519.052	354.548
2000	932.225	537.919	384.084
2020	608.268	245.706	264.752
2030	150.91	73.89	61.517
2040	107.783	66.641	45.693
2080	2496.567	1630.68	995.451
2099	1141.743	739.468	456.546
2120	542.738	399.206	221.424
2160	4401.653	2300.146	1747.91
2180	149.201	89.256	61.902
2190	162.955	86.177	63.899
2199	2172.825	1057.401	886.743
220	133.949	80.092	52.125
2200	93.303	68.298	36.757
2240	240.764	148.171	102.123
2281	297.09	154.211	109.598
2290	163.075	106.713	66.57
2299	1106.832	511.811	412.944
2320	771.309	388.822	248.828
2330	201.688	132.825	74.906
2335	87.313	49.331	34.792
2340	58.161	38.431	24.078
2360	279.443	166.644	108.995
2399	920.0917569	550.4891425	390.3000125
240	715.727	383.165	286.512
2400	354.489	204.18	150.093
2440	306.166	183.423	126.754
2499	435.658	257.867	175.698
2520	199.302	152.171	83.797
2560	318.049	208.282	118.799
2580	427.763	256.956	167.939
2599	637.5370563	425.9819993	262.3533511
2600	166.3772963	93.68859259	65.75434074
2620	140.269	96.478	51.354
2640	428.456	188.403	174.059
2650	144.564	71.902	61.792
2655	134.722	88.236	52.143
2670	305.717	200.735	122.975
2680	1800.962	1060.621	733.416
2699	1790.351	804.928	719.647
2700	617.591	285.757	275.624
2710	423.692	193.35	182.282
2720	227.832	137.99	90.991
2750	185.652	132.252	76.255
2760	531.696	326.114	212.524
2799	1499.313	948.198	608.26
280	124.72	75.993	51.033
2800	2133.252	1191.954	801.369
2840	1084.657	533.005	351.115
2880	103.841	48.479	43.191
2899	1840.971	899.873	702.963
2900	246.518	173.094	103.042
2920	298.095	143.014	117.15
2960	663.073	327.392	257.213
2975	129.972	68.767	52.896
2980	114.151	61.313	45.01
2985	98.274	71.327	39.73
299	416.706	247.703	152.155
2995	146.896	94.443	60.067
2999	1854.927	1003.269	752.277
3000	1171.683	662.476	443.633
3040	82.297	52.001	35.18
3060	256.476	121.195	91.366
3080	249.219	182.468	98.926
3099	655.125	420.679	270.869
3120	1408.447	836.891	580.959
3150	162.08	94.081	66.459
3160	1089.805	638.13	442.175
3180	148.019	78.888	58.536
3199	788.657	526.943	320.399
320	240.023	150.07	92.908
3200	367.539	191.825	141.547
3240	669.118	469.579	275.853
