Groupno	MSA	DUMAGE	HHType	DUMEMP	Mean	Std.Dev.
1	1	1	1	1	0.385	1.463371
2	1	1	1	2	0.643	2.60344
3	1	1	1	3	0.755	2.225489
4	1	1	2	1	0.243	1.030944
5	1	1	2	2	0.5	1.444643
6	1	1	2	3	0.613	3.008125
7	1	1	3	1	0.146	1.282325
8	1	1	3	2	0.403	0.7474705
9	1	1	3	3	0.516	1.525548
10	1	1	4	1	0	1.439524
11	1	1	4	2	0.219	0.5084039
12	1	1	4	3	0.331	0.9443981
13	1	2	1	1	0.627	1.738839
14	1	2	1	2	0.884	2.348917
15	1	2	1	3	0.997	2.049799
16	1	2	2	1	0.485	1.526211
17	1	2	2	2	0.742	1.35845
18	1	2	2	3	0.855	2.258397
19	1	2	3	1	0.387	1.569705
20	1	2	3	2	0.645	2.502956
21	1	2	3	3	0.757	0.9438798
22	1	2	4	1	0.203	1.249455
23	1	2	4	2	0.46	1.6646
24	1	2	4	3	0.573	0.7679476
25	1	3	1	1	0.725	1.703178
26	1	3	1	2	0.982	1.486645
27	1	3	1	3	1.095	2.198484
28	1	3	2	1	0.582	1.41214
29	1	3	2	2	0.84	2.841279
30	1	3	2	3	0.952	0
31	1	3	3	1	0.485	1.32286
32	1	3	3	2	0.743	1.58621
33	1	3	3	3	0.855	1.527525
34	1	3	4	1	0.301	2.362575
35	1	3	4	2	0.558	1.33095
36	1	3	4	3	0.671	0
37	2	1	1	1	0.866	1.909111
38	2	1	1	2	1.124	3.950219
39	2	1	1	3	1.236	4.083261
40	2	1	2	1	0.724	1.747763
41	2	1	2	2	0.981	2.300339
42	2	1	2	3	1.094	3.01698
43	2	1	3	1	0.627	3.160078
44	2	1	3	2	0.884	1.571919
45	2	1	3	3	0.997	1.408797
46	2	1	4	1	0.442	1.199947
47	2	1	4	2	0.7	1.46747
48	2	1	4	3	0.812	1.571497
49	2	2	1	1	1.108	2.750114
50	2	2	1	2	1.365	3.722736
51	2	2	1	3	1.478	2.780316
52	2	2	2	1	0.966	2.375222
53	2	2	2	2	1.223	3.162718
54	2	2	2	3	1.336	1.931408
55	2	2	3	1	0.868	2.785701
56	2	2	3	2	1.126	3.063132
57	2	2	3	3	1.238	0.9161254
58	2	2	4	1	0.684	2.205565
59	2	2	4	2	0.941	1.821033
60	2	2	4	3	1.054	2.44949
61	2	3	1	1	1.206	2.665952
62	2	3	1	2	1.463	3.389645
63	2	3	1	3	1.576	1.457738
64	2	3	2	1	1.063	3.287327
65	2	3	2	2	1.321	3.523233
66	2	3	2	3	1.433	2.828427
67	2	3	3	1	0.966	2.425179
68	2	3	3	2	1.224	3.302198
69	2	3	3	3	1.336	0
70	2	3	4	1	0.782	0.911545
71	2	3	4	2	1.039	2.041939
72	2	3	4	3	1.152	1.414214
