statefips	superpuma	puma	countyfips	MSAPMSA	totPOP	pumapop	percentage	Stpuma
1	1300	100	33	2650	285900	285900	1	0100100
1	1100	200	89	3440	315904	315904	1	0100200
1	1100	300	83	3440	368848	368848	1	0100300
1	1200	400	49	9999	236756	236756	1	0100400
1	1100	500	43	9999	369114	369114	1	0100500
1	1100	600	79	2030	291734	291734	1	0100600
1	1300	700	57	9999	265166	265166	1	0100700
1	1701	800	9	1000	231532	372958	0.620799125	0100800
1	1701	800	127	9999	141426	372958	0.379200875	0100800
1	1702	901	73	1000	310887	310887	1	0100901
1	1702	902	73	1000	354860	354860	1	0100902
1	1702	903	73	1000	412350	412350	1	0100903
1	1702	904	73	1000	433937	433937	1	0100904
1	1701	905	73	1000	278252	278252	1	0100905
1	1200	1000	55	2880	206918	206918	1	0101000
1	1200	1100	19	9999	310132	310132	1	0101100
1	1200	1200	15	450	224498	224498	1	0101200
1	1701	1300	117	1000	286586	286586	1	0101300
1	1300	1400	125	8600	329750	329750	1	0101400
1	1300	1500	7	9999	257500	257500	1	0101500
1	1500	1600	17	9999	259706	259706	1	0101600
1	1400	1700	81	580	230184	230184	1	0101700
1	1400	1800	113	1800	99512	391184	0.254386682	0101800
1	1400	1800	5	9999	291672	391184	0.745613318	0101800
1	1500	1900	101	5240	403136	403136	1	0101900
1	1500	2000	1	5240	262974	262974	1	0102000
1	1600	2100	23	9999	330790	330790	1	0102100
1	1600	2200	97	5160	397830	397830	1	0102200
1	1600	2300	97	5160	401856	401856	1	0102300
1	1600	2400	3	5160	280830	280830	1	0102400
1	1400	2500	31	9999	214020	214020	1	0102500
1	1400	2600	45	2180	275832	275832	1	0102600
2	2100	101	20	380	356034	356034	1	0200101
2	2100	102	20	380	424815	424815	1	0200102
2	2100	200	122	9999	218026	218026	1	0200200
2	2100	300	68	9999	314220	314220	1	0200300
2	2100	400	13	9999	201052	201052	1	0200400
4	4301	101	13	6200	273799	273799	1	0400101
4	4301	102	13	6200	328008	328008	1	0400102
4	4302	103	13	6200	523359	523359	1	0400103
4	4302	104	13	6200	566805	566805	1	0400104
4	4303	105	13	6200	437994	437994	1	0400105
4	4303	106	13	6200	299553	299553	1	0400106
4	4302	107	13	6200	438450	438450	1	0400107
4	4301	108	13	6200	348741	348741	1	0400108
4	4301	109	13	6200	354752	354752	1	0400109
4	4301	110	13	6200	253723	253723	1	0400110
4	4305	111	13	6200	507207	507207	1	0400111
4	4304	112	13	6200	512256	512256	1	0400112
4	4304	113	13	6200	311952	311952	1	0400113
4	4303	114	13	6200	550296	550296	1	0400114
4	4303	115	13	6200	458580	458580	1	0400115
4	4306	116	13	6200	486478	486478	1	0400116
4	4304	117	13	6200	431628	431628	1	0400117
4	4305	118	13	6200	444909	444909	1	0400118
4	4305	119	13	6200	313056	313056	1	0400119
4	4306	120	13	6200	557092	557092	1	0400120
4	4306	121	13	6200	375351	375351	1	0400121
4	4306	122	13	6200	300351	300351	1	0400122
4	4402	201	19	8520	380609	380609	1	0400201
4	4401	202	19	8520	322812	322812	1	0400202
4	4401	203	19	8520	289445	289445	1	0400203
4	4402	204	19	8520	395167	395167	1	0400204
4	4401	205	19	8520	292118	292118	1	0400205
4	4401	206	19	8520	312493	312493	1	0400206
4	4402	207	19	8520	415861	415861	1	0400207
4	4100	300	1	9999	333786	333786	1	0400300
4	4100	400	5	2620	232640	232640	1	0400400
4	4100	500	25	9999	335034	335034	1	0400500
4	4100	600	15	4120	310064	349494	0.887179751	0400600
4	4100	600	12	9999	39430	349494	0.112820249	0400600
4	4100	700	27	9360	320052	320052	1	0400700
4	4200	800	21	6200	359454	462124	0.777830193	0400800
4	4200	800	7	9999	102670	462124	0.222169807	0400800
4	4200	900	3	9999	396344	396344	1	0400900
5	5100	100	7	2580	306812	306812	1	0500100
5	5100	200	143	2580	315430	315430	1	0500200
5	5100	300	5	9999	289886	289886	1	0500300
5	5200	400	23	9999	255960	255960	1	0500400
5	5200	500	31	3700	164296	346114	0.474687531	0500500
5	5200	500	21	9999	181818	346114	0.525312469	0500500
5	5200	600	35	4920	101732	205690	0.494588945	0500600
5	5200	600	93	9999	103958	205690	0.505411055	0500600
5	5200	700	37	9999	226988	226988	1	0500700
5	5200	800	67	9999	228234	228234	1	0500800
5	5300	900	119	4400	366266	366266	1	0500900
5	5300	1000	119	4400	356682	356682	1	0501000
5	5300	1100	45	4400	444742	444742	1	0501100
5	5400	1200	29	9999	257868	257868	1	0501200
5	5400	1300	33	2720	336636	336636	1	0501300
5	5400	1400	47	9999	203078	203078	1	0501400
5	5400	1500	19	9999	302424	302424	1	0501500
5	5500	1600	69	6240	168556	242982	0.693697476	0501600
5	5500	1600	1	9999	74426	242982	0.306302524	0501600
5	5500	1700	3	9999	216106	216106	1	0501700
5	5500	1800	13	9999	229952	229952	1	0501800
5	5500	1900	91	8360	80886	214950	0.376301465	0501900
5	5500	1900	57	9999	134064	214950	0.623698535	0501900
6	6010	100	15	9999	230170	230170	1	0600100
6	6010	200	23	9999	253036	253036	1	0600200
6	6010	300	89	6690	326512	326512	1	0600300
6	6020	400	33	9999	289148	289148	1	0600400
6	6020	500	11	9999	228636	228636	1	0600500
6	6020	600	7	1620	406342	406342	1	0600600
6	6030	700	57	9999	232824	232824	1	0600700
6	6030	800	101	9340	278298	278298	1	0600800
6	6030	900	113	9270	337320	337320	1	0600900
6	6050	1000	55	8720	248558	248558	1	0601000
6	6040	1101	97	7500	447793	447793	1	0601101
6	6040	1102	97	7500	284734	284734	1	0601102
