GroupNo	MSA	INCLEVEL	DUMAGE	HHType	Mean	std.Dev.
1	1	1	1	1	2.223	3.238223
2	1	1	1	2	1.97	3.114418
3	1	1	1	3	2.07	3.707309
4	1	1	1	4	2.106	3.417057
5	1	1	2	1	2.567	2.618965
6	1	1	2	2	2.314	2.863433
7	1	1	2	3	2.414	3.925086
8	1	1	2	4	2.45	2.944109
9	1	1	3	1	2.564	3.4183
10	1	1	3	2	2.312	2.40028
11	1	1	3	3	2.412	2.917353
12	1	1	3	4	2.447	2.659137
13	1	2	1	1	2.766	4.064304
14	1	2	1	2	2.514	2.973337
15	1	2	1	3	2.614	3.864336
16	1	2	1	4	2.649	3.431779
17	1	2	2	1	3.11	4.602727
18	1	2	2	2	2.857	4.516563
19	1	2	2	3	2.957	4.284872
20	1	2	2	4	2.993	3.951632
21	1	2	3	1	3.108	3.960299
22	1	2	3	2	2.855	2.846167
23	1	2	3	3	2.955	2.573276
24	1	2	3	4	2.99	2.95892
25	1	3	1	1	3.267	4.398588
26	1	3	1	2	3.014	3.769769
27	1	3	1	3	3.114	3.988734
28	1	3	1	4	3.149	2.188975
29	1	3	2	1	3.61	4.821143
30	1	3	2	2	3.357	4.276752
31	1	3	2	3	3.457	6.818396
32	1	3	2	4	3.493	3.687427
33	1	3	3	1	3.608	4.606314
34	1	3	3	2	3.355	2.650102
35	1	3	3	3	3.455	36.43503
36	1	3	3	4	3.491	2.280351
37	2	1	1	1	2.521	3.417466
38	2	1	1	2	2.268	3.671434
39	2	1	1	3	2.368	4.847131
40	2	1	1	4	2.403	4.522259
41	2	1	2	1	2.864	3.542597
42	2	1	2	2	2.611	5.118283
43	2	1	2	3	2.711	3.376409
44	2	1	2	4	2.747	3.684535
45	2	1	3	1	2.862	3.767389
46	2	1	3	2	2.609	2.451757
47	2	1	3	3	2.709	3.732844
48	2	1	3	4	2.745	4.101193
49	2	2	1	1	3.064	4.789204
50	2	2	1	2	2.811	3.50439
51	2	2	1	3	2.911	6.256982
52	2	2	1	4	2.947	5.489645
53	2	2	2	1	3.408	4.095329
54	2	2	2	2	3.155	4.024327
55	2	2	2	3	3.255	6.197375
56	2	2	2	4	3.29	3.394864
57	2	2	3	1	3.405	4.410697
58	2	2	3	2	3.152	4.510755
59	2	2	3	3	3.252	4.34244
60	2	2	3	4	3.288	9.80348
61	2	3	1	1	3.564	3.587463
62	2	3	1	2	3.311	4.25375
63	2	3	1	3	3.411	8.584341
64	2	3	1	4	3.447	5.955437
65	2	3	2	1	3.908	4.436782
66	2	3	2	2	3.655	5.018494
67	2	3	2	3	3.755	4.381158
68	2	3	2	4	3.79	9.637971
69	2	3	3	1	3.905	5.126125
70	2	3	3	2	3.652	4.891978
71	2	3	3	3	3.752	4.64348
72	2	3	3	4	3.788	2.629956
