MSA/NMSA	alt	MSA_Dummy
40	1	1
80	2	1
120	3	1
160	4	1
199	5	0
200	6	1
220	7	1
240	8	1
280	9	1
299	10	0
320	11	1
380	12	1
440	13	1
450	14	1
460	15	1
480	16	1
499	17	0
500	18	1
520	19	1
560	20	1
580	21	1
599	22	0
600	23	1
640	24	1
680	25	1
699	26	0
720	27	1
730	28	1
740	29	1
760	30	1
840	31	1
860	32	1
870	33	1
875	34	1
880	35	1
899	36	0
920	37	1
960	38	1
999	39	0
1000	40	1
1010	41	1
1020	42	1
1040	43	1
1080	44	1
1099	45	0
1120	46	1
1125	47	1
1145	48	1
1150	49	1
1160	50	1
1200	51	1
1240	52	1
1260	53	1
1280	54	1
1299	55	0
1305	56	1
1320	57	1
1350	58	1
1360	59	1
1399	60	0
1400	61	1
1440	62	1
1480	63	1
1520	64	1
1540	65	1
1560	66	1
1580	67	1
1600	68	1
1620	69	1
1640	70	1
1660	71	1
1680	72	1
1699	73	0
1720	74	1
1740	75	1
1760	76	1
1799	77	0
1800	78	1
1840	79	1
1880	80	1
1890	81	1
1899	82	0
1900	83	1
1920	84	1
1930	85	1
1950	86	1
1960	87	1
1999	88	0
2000	89	1
2020	90	1
2030	91	1
2040	92	1
2080	93	1
2099	94	0
2120	95	1
2160	96	1
2180	97	1
2190	98	1
2199	99	0
2200	100	1
2240	101	1
2281	102	1
2290	103	1
2299	104	0
2320	105	1
2330	106	1
2335	107	1
2340	108	1
2360	109	1
2399	110	0
2400	111	1
2440	112	1
2499	113	0
2520	114	1
2560	115	1
2580	116	1
2599	117	0
2600	118	1
2620	119	1
2640	120	1
2650	121	1
2655	122	1
2670	123	1
2680	124	1
2699	125	0
2700	126	1
2710	127	1
2720	128	1
2750	129	1
2760	130	1
2799	131	0
2800	132	1
2840	133	1
2880	134	1
2899	135	0
2900	136	1
2920	137	1
2960	138	1
2975	139	1
2980	140	1
2985	141	1
2995	142	1
2999	143	0
3000	144	1
3040	145	1
3060	146	1
3080	147	1
3099	148	0
3120	149	1
3150	150	1
3160	151	1
3180	152	1
3199	153	0
3200	154	1
3240	155	1
3280	156	1
3285	157	1
3290	158	1
3299	159	0
3350	160	1
3360	161	1
3399	162	0
3400	163	1
3440	164	1
3480	165	1
3500	166	1
3520	167	1
3560	168	1
3580	169	1
3599	170	0
3600	171	1
3605	172	1
3610	173	1
3620	174	1
3640	175	1
3660	176	1
3680	177	1
3699	178	0
3700	179	1
3710	180	1
3720	181	1
3740	182	1
3760	183	1
3799	184	0
3800	185	1
3810	186	1
3840	187	1
3850	188	1
3870	189	1
3880	190	1
3899	191	0
3920	192	1
3960	193	1
3980	194	1
3999	195	0
4000	196	1
4040	197	1
4080	198	1
4099	199	0
4100	200	1
4120	201	1
4150	202	1
4160	203	1
4199	204	0
4200	205	1
4240	206	1
4280	207	1
4299	208	0
4320	209	1
4360	210	1
4400	211	1
4420	212	1
4480	213	1
4499	214	0
4520	215	1
4560	216	1
4599	217	0
4600	218	1
4640	219	1
4680	220	1
4699	221	0
4720	222	1
4760	223	1
4799	224	0
4800	225	1
4880	226	1
4890	227	1
4899	228	0
4900	229	1
4920	230	1
4940	231	1
4999	232	0
5000	233	1
5015	234	1
5080	235	1
5099	236	0
5120	237	1
5140	238	1
5160	239	1
5170	240	1
5190	241	1
5199	242	0
5200	243	1
5240	244	1
5280	245	1
5330	246	1
5345	247	1
5350	248	1
5360	249	1
5380	250	1
5399	251	0
5400	252	1
5480	253	1
5499	254	0
5520	255	1
5560	256	1
5599	257	0
5600	258	1
5640	259	1
5660	260	1
5699	261	0
5720	262	1
5775	263	1
5790	264	1
5800	265	1
5880	266	1
5910	267	1
5920	268	1
5945	269	1
5960	270	1
5990	271	1
6015	272	1
6020	273	1
6080	274	1
6120	275	1
6160	276	1
6200	277	1
6240	278	1
6280	279	1
6320	280	1
6340	281	1
6400	282	1
6440	283	1
6450	284	1
6480	285	1
6520	286	1
6560	287	1
6580	288	1
6600	289	1
6640	290	1
6660	291	1
6680	292	1
6690	293	1
6720	294	1
6740	295	1
6760	296	1
6780	297	1
6800	298	1
6820	299	1
6840	300	1
6880	301	1
6895	302	1
6920	303	1
6960	304	1
6980	305	1
7000	306	1
7040	307	1
7080	308	1
7120	309	1
7160	310	1
7200	311	1
7240	312	1
7320	313	1
7360	314	1
7400	315	1
7460	316	1
7480	317	1
7485	318	1
7490	319	1
7500	320	1
7510	321	1
7520	322	1
7560	323	1
7600	324	1
7610	325	1
7620	326	1
7640	327	1
7680	328	1
7720	329	1
7760	330	1
7800	331	1
7840	332	1
7880	333	1
7920	334	1
8000	335	1
8040	336	1
8050	337	1
8080	338	1
8120	339	1
8140	340	1
8160	341	1
8200	342	1
8240	343	1
8280	344	1
8320	345	1
8360	346	1
8400	347	1
8440	348	1
8480	349	1
8520	350	1
8560	351	1
8600	352	1
8640	353	1
8680	354	1
8720	355	1
8735	356	1
8750	357	1
8760	358	1
8780	359	1
8800	360	1
8840	361	1
8880	362	1
8920	363	1
8940	364	1
8960	365	1
9000	366	1
9040	367	1
9080	368	1
9140	369	1
9160	370	1
9200	371	1
9240	372	1
9260	373	1
9270	374	1
9280	375	1
9320	376	1
9340	377	1
9360	378	1
3320	379	1
1599	380	0
